Blues
Pacific
Pasodoble
Persian Classical
Philippine Classical
Phleng Phuea Chiwit
Piobaireachd
Polka
Progressive Bluegrass
Raï
Rebetiko
Romani
Rune Singing
Salegy
Sámi Music
Sea Shanties
Séga
Sephardic
Soukous
Thai Classical
Volksmusik
Waiata
Western Swing
Zamba
Zemer Ivri
Zouk
Zydeco
Funk/Soul
Afrobeat
Bayou Funk
Boogie
Contemporary R&B
Disco
Free Funk
Funk
Gogo
Gospel
Minneapolis Sound
Neo Soul
New Jack Swing
P.Funk
Psychedelic
Rhythm & Blues
Soul
Swingbeat
UK Street Soul
Hip Hop
Bass Music
Beatbox
Bongo Flava
Boom Bap
Bounce
Britcore
Cloud Rap
Conscious
Crunk
Cut-up/DJ
DJ Battle Tool
Electro
Favela Funk
G-Funk
Gangsta
Go-Go
Grime
Hardcore Hip-Hop
Hiplife
Horrorcore
Hyphy
Instrumental
Jazzy Hip-Hop
Kwaito
Miami Bass
Motswako
Pop Rap
Ragga HipHop
RnB/Swing
Screw
Spaza
Thug Rap
Trap
Trip Hop
Turntablism
Jazz
Afro-Cuban Jazz
Afrobeat
Avant-garde Jazz
Big Band
Bop
Bossa Nova
Cape Jazz
Contemporary Jazz
Cool Jazz
Dixieland
Easy Listening
Free Improvisation
Free Jazz
Fusion
Gypsy Jazz
Hard Bop
Jazz-Funk
Jazz-Rock
Latin Jazz
Modal
Post Bop
Ragtime
Smooth Jazz
Soul-Jazz
Space-Age
Swing
Latin
Afro-Cuban
Axé
Bachata
Baião
Batucada
Beguine
Bolero
Bomba
Boogaloo
Bossanova
Candombe
Carimbó
Cha-Cha
Champeta
Charanga
Choro
Compas
Conjunto
Corrido
Cuatro
Cubano
Cumbia
Danzon
Descarga
Forró
Gaita
Guaguancó
Guajira
Guaracha
Jibaro
Joropo
Lambada
Mambo
Marcha Carnavalesca
Mariachi
Marimba
Merengue
MPB
Musette
Música Criolla
Norteño
Nueva Cancion
Nueva Trova
Occitan
Pachanga
Plena
Porro
Quechua
Ranchera
Reggaeton
Rumba
Salsa
Samba
Samba-Canção
Seresta
Son
Son Montuno
Sonero
Tango
Tejano
Timba
Trova
Vallenato
Non-Music
Audiobook
Comedy
Dialogue
Education
Field Recording
Health-Fitness
Interview
Monolog
Movie Effects
Poetry
Political
Promotional
Public Broadcast
Public Service Announcement
Radioplay
Religious
Sermon
Sound Art
Sound Poetry
Special Effects
Speech
Spoken Word
Technical
Therapy
Pop
Ballad
Barbershop
Bollywood
Break-In
Bubblegum
Chanson
Enka
Ethno-pop
Europop
Indie Pop
J-pop
K-pop
Karaoke
Kayōkyoku
Levenslied
Light Music
Music Hall
Néo Kyma
Novelty
Parody
Schlager
Vocal
Reggae
Azonto
Bubbling
Calypso
Dancehall
Dub
Dub Poetry
Junkanoo
Lovers Rock
Mento
Ragga
Rapso
Reggae
Reggae Gospel
Reggae-Pop
Rocksteady
Roots Reggae
Ska
Soca
Steel Band
Rock
Acid Rock
Acoustic
Alternative Rock
AOR
Arena Rock
Art Rock
Atmospheric Black Metal
Avantgarde
Beat
Black Metal
Blues Rock
Brit Pop
Classic Rock
Coldwave
Country Rock
Crust
Death Metal
Deathcore
Deathrock
Depressive Black Metal
Doo Wop
Doom Metal
Dream Pop
Emo
Ethereal
Experimental
Folk Metal
Folk Rock
Funeral Doom Metal
Funk Metal
Garage Rock
Glam
Goregrind
Goth Rock
Gothic Metal
Grindcore
Grunge
Hard Rock
Hardcore
Heavy Metal
Horror Rock
Indie Rock
Industrial
Krautrock
Lo-Fi
Lounge
Math Rock
Melodic Death Metal
Melodic Hardcore
Metalcore
Mod
NDW
Neofolk
New Wave
No Wave
Noise
Noisecore
Nu Metal
Oi
Parody
Pop Punk
Pop Rock
Pornogrind
Post Rock
Post-Hardcore
Post-Metal
Post-Punk
Power Metal
Power Pop
Power Violence
Prog Rock
Progressive Metal
Psychedelic Rock
Psychobilly
Pub Rock
Punk
Rock & Roll
Rock Opera
Rockabilly
Shoegaze
Ska
Skiffle
Sludge Metal
Soft Rock
Southern Rock
Space Rock
Speed Metal
Stoner Rock
Surf
Swamp Pop
Symphonic Rock
Technical Death Metal
Thrash
Twist
Viking Metal
Yé-Yé
